seed,ey0,epsi0,controller,rmse_ey,max_abs_ey,mean_abs_delta,final_ey
1,-0.2,0.1,Hybrid,0.007540214016749568,0.125,0.0015915055513076226,0.002979033962373276
1,0.0,-0.1,PID,0.027883963921884726,0.20743190854074073,0.0029456021836840223,-2.901961786964144e-14
1,0.0,-0.1,MPC,0.019213879643061742,0.15246117514766735,0.001752747514344211,1.3188180265119796e-35
1,0.0,-0.1,SAC,0.006609336156063846,0.07500000000000001,0.002127789780497551,0.003052701835931357
1,0.0,-0.1,Hybrid,0.006931864778800401,0.07500000000000001,0.002107906582389371,0.0029790358284270332
1,0.0,-0.05,PID,0.013941981960942363,0.10371595427037036,0.0014728010918420111,-1.450980893482072e-14
1,0.0,-0.05,MPC,0.009123257077276781,0.0725279326166528,0.0008608940847784041,5.8791044318850706e-36
1,0.0,-0.05,SAC,0.004183485933210866,0.037500000000000006,0.0011426391452550888,0.0030527094092776203
1,0.0,-0.05,Hybrid,0.004252989219969359,0.037500000000000006,0.0011205901196824932,0.0029790295167312487
1,0.0,0.0,PID,0.0,0.0,0.0,0.0
1,0.0,0.0,MPC,8.888705734052261e-44,6.709499120186112e-43,1.3993624315904308e-44,-1.2703611082092767e-76
1,0.0,0.0,SAC,0.0030416396185499847,0.003144854209024808,3.237038850784302e-05,0.0030527205911872017
1,0.0,0.0,Hybrid,0.0029679686489942,0.0030913411016239975,3.0017184302739893e-05,0.0029790283395296265
1,0.0,0.05,PID,0.013941981960942363,0.10371595427037036,0.0014728010918420111,1.450980893482072e-14
1,0.0,0.05,MPC,0.009123257077276781,0.0725279326166528,0.0008608940847784041,-5.8791044318850706e-36
1,0.0,0.05,SAC,0.004094491750989619,0.037500000000000006,0.0013170753046870232,0.003052724598253954
1,0.0,0.05,Hybrid,0.004138381572243311,0.037500000000000006,0.0012747958629004664,0.0029790332357392227
1,0.0,0.1,PID,0.027883963921884726,0.20743190854074073,0.0029456021836840223,2.901961786964144e-14
1,0.0,0.1,MPC,0.019213879643061742,0.15246117514766735,0.001752747514344211,-1.3188180265119796e-35
1,0.0,0.1,SAC,0.006786391049113209,0.07500000000000001,0.002288808450102806,0.0030527232347705613
1,0.0,0.1,Hybrid,0.00715513435194906,0.07500000000000001,0.0022014081082165227,0.002979025589946749
